184.169.203.101 - - [24/Jan/2013:12:12:25 -0700] "HEAD porshhair.com/index.html HTTP/1.1" 200 220 "-" "UnwindFetchor/1.0 (+http://www.gnip.com/)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 335564
184.72.7.131 - - [24/Jan/2013:12:12:26 -0700] "GET porshhair.com/index.html HTTP/1.1" 206 4326 "-" "JS-Kit URL Resolver, http://js-kit.com/" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 42283
69.171.248.2 - - [24/Jan/2013:14:11:15 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 206 36572 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 150673
69.171.248.6 - - [24/Jan/2013:14:11:15 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 164683
69.171.248.5 - - [24/Jan/2013:14:11:15 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 158998
65.52.0.16 - - [24/Jan/2013:14:11:28 -0700] "GET www.porshhair.com/index.html?fb_action_ids=3816829593726&fb_action_types=og.likes&action_object_map=%7B%223816829593726%22%3A132247566940313%7D&action_type_map=%7B%223816829593726%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D HTTP/1.1" 200 2103 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 17965
79.52.97.131 - - [24/Jan/2013:14:16:47 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "https://www.facebook.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 49018
79.52.97.131 - - [24/Jan/2013:14:16:47 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 48716
79.52.97.131 - - [24/Jan/2013:14:16:47 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 16691
79.52.97.131 - - [24/Jan/2013:14:16:47 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 27754
79.52.97.131 - - [24/Jan/2013:14:16:48 -0700] "GET www.porshhair.com/cache/6b344d89717367c8a120582c83903491 HTTP/1.1" 404 622 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/missing.html" 44977
