173.252.110.114 - - [26/Jan/2013:00:12:18 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32744 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 1 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 33889
94.2.153.251 - - [26/Jan/2013:08:08:19 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "https://www.facebook.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 13860
94.2.153.251 - - [26/Jan/2013:08:08:19 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 10976
94.2.153.251 - - [26/Jan/2013:08:08:19 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 77660
94.2.153.251 - - [26/Jan/2013:08:08:19 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 130545
94.2.153.251 - - [26/Jan/2013:08:08:20 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 2 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 3249067
94.2.153.251 - - [26/Jan/2013:08:08:20 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 200 744013 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 9358804
94.2.153.251 - - [26/Jan/2013:08:08:32 -0700] "GET www.porshhair.com/images/icon.ico HTTP/1.1" 200 5804 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/images/icon.ico" 10733
94.2.153.251 - - [26/Jan/2013:08:08:57 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 41414
94.2.153.251 - - [26/Jan/2013:08:09:03 -0700] "GET www.porshhair.com/Prices/Prices.html HTTP/1.1" 200 1431 "http://www.porshhair.com/Services/Services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Prices/Prices.html" 21747
94.2.153.251 - - [26/Jan/2013:08:09:03 -0700] "GET www.porshhair.com/images/image5.jpg HTTP/1.1" 200 40971 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/images/image5.jpg" 88226
94.2.153.251 - - [26/Jan/2013:08:09:03 -0700] "GET www.porshhair.com/images/image2.jpg HTTP/1.1" 200 37746 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/image2.jpg" 81471
65.55.213.70 - - [26/Jan/2013:08:55:24 -0700] "GET www.porshhair.com/robots.txt HTTP/1.1" 200 427 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "-" "/var/chroot/home/content/61/10251861/html/robots.txt" 67331
65.55.213.70 - - [26/Jan/2013:08:55:24 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2066 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 9869
